node_id,label
3279,software-development
26139,artificial-intelligence
9946,artificial-intelligence
2353,software-development
8266,software-development
26638,software-development
903,artificial-intelligence
2162,artificial-intelligence
13638,software-development
22432,software-development
17021,software-development
1102,artificial-intelligence
409,artificial-intelligence
5819,artificial-intelligence
22453,artificial-intelligence
11245,artificial-intelligence
21848,software-development
11850,software-development
18169,artificial-intelligence
26070,artificial-intelligence
19347,artificial-intelligence
21870,software-development
8796,software-development
3482,artificial-intelligence
5740,artificial-intelligence
24718,software-development
15580,artificial-intelligence
25347,software-development
2527,software-development
424,software-development
15373,artificial-intelligence
14210,artificial-intelligence
3141,software-development
20120,software-development
10492,artificial-intelligence
23579,software-development
18708,artificial-intelligence
27355,software-development
25159,artificial-intelligence
25939,software-development
27627,software-development
22567,artificial-intelligence
20479,software-development
13942,artificial-intelligence
22046,software-development
2993,artificial-intelligence
2689,software-development
21608,software-development
7817,software-development
11494,artificial-intelligence
298,artificial-intelligence
17215,artificial-intelligence
27098,artificial-intelligence
18760,software-development
16260,software-development
27211,software-development
25437,software-development
24037,artificial-intelligence
33,artificial-intelligence
20782,software-development
3573,artificial-intelligence
23481,artificial-intelligence
23609,artificial-intelligence
5546,software-development
646,software-development
6576,artificial-intelligence
17733,software-development
14177,artificial-intelligence
3020,artificial-intelligence
24981,artificial-intelligence
3314,artificial-intelligence
9285,software-development
9612,software-development
10717,artificial-intelligence
1392,software-development
5935,software-development
9654,software-development
3705,artificial-intelligence
16133,software-development
10907,software-development
17706,software-development
23345,software-development
83,artificial-intelligence
24000,artificial-intelligence
1767,software-development
21053,software-development
21599,software-development
26268,artificial-intelligence
12513,software-development
2256,software-development
7891,artificial-intelligence
20223,artificial-intelligence
10984,software-development
15519,artificial-intelligence
16784,artificial-intelligence
16952,artificial-intelligence
25542,artificial-intelligence
19799,artificial-intelligence
16649,artificial-intelligence
15242,software-development
26358,software-development
18734,software-development
14932,artificial-intelligence
11439,software-development
26922,artificial-intelligence
27456,software-development
13238,artificial-intelligence
6453,software-development
1950,software-development
669,software-development
18448,software-development
8518,software-development
24683,ux
21314,software-development
9467,artificial-intelligence
21213,software-development
23293,artificial-intelligence
22315,software-development
15451,artificial-intelligence
3687,software-development
25137,artificial-intelligence
1943,artificial-intelligence
16276,artificial-intelligence
18295,software-development
9840,software-development
3347,software-development
2562,artificial-intelligence
5678,artificial-intelligence
25671,artificial-intelligence
3755,software-development
22463,software-development
18071,artificial-intelligence
12768,software-development
4026,artificial-intelligence
22612,software-development
26988,software-development
22839,software-development
4770,artificial-intelligence
10397,software-development
4385,artificial-intelligence
22478,software-development
14733,software-development
3408,artificial-intelligence
11090,artificial-intelligence
23176,software-development
19085,artificial-intelligence
24179,artificial-intelligence
1455,software-development
513,artificial-intelligence
14476,artificial-intelligence
2411,software-development
7354,artificial-intelligence
27201,software-development
13370,software-development
23452,artificial-intelligence
20625,artificial-intelligence
14519,software-development
17338,software-development
1785,artificial-intelligence
18185,software-development
14508,artificial-intelligence
8368,software-development
18341,artificial-intelligence
14348,artificial-intelligence
22752,artificial-intelligence
26151,software-development
20193,artificial-intelligence
14286,artificial-intelligence
3866,software-development
26548,artificial-intelligence
19029,software-development
9076,artificial-intelligence
6805,software-development
25586,artificial-intelligence
13222,artificial-intelligence
21595,software-development
10585,artificial-intelligence
8314,software-development
2925,artificial-intelligence
26889,artificial-intelligence
6139,artificial-intelligence
18543,software-development
1714,artificial-intelligence
11722,artificial-intelligence
14371,software-development
9907,artificial-intelligence
16818,software-development
21489,artificial-intelligence
23291,artificial-intelligence
18747,software-development
1912,software-development
25296,artificial-intelligence
18534,artificial-intelligence
7467,software-development
17802,artificial-intelligence
9748,artificial-intelligence
6167,software-development
6518,software-development
10612,software-development
22471,software-development
4027,software-development
18382,artificial-intelligence
1423,software-development
23272,software-development
10049,artificial-intelligence
15917,artificial-intelligence
4197,artificial-intelligence
15699,artificial-intelligence
3845,software-development
24452,software-development
23938,artificial-intelligence
11506,artificial-intelligence
21901,artificial-intelligence
8225,software-development
14923,software-development
24797,artificial-intelligence
1004,artificial-intelligence
9700,artificial-intelligence
22726,software-development
7485,software-development
843,software-development
8680,artificial-intelligence
